sexo;idade;ex_media;ex_pe2010
feminino;1-4;75,4891088413039;78,1905681485887
feminino;5-9;71,6531587388981;74,3737913391801
feminino;20-24;56,8959219206141;59,6924280487222
feminino;45-49;32,8627165074524;36,0209274859633
masculino;1-4;71,1996076933513;70,3539934197118
masculino;5-9;67,4952450901897;66,5385204800726
masculino;20-24;53,0265659635538;52,3249408246730
masculino;45-49;29,5715573581629;31,3642634374349
