sexo;a_avg_obs;a_avg_pd;c_avg_obs;c_avg_pd;beta;alfa
feminino;-1,71107287630821;-1,74720951019720;-2,11560011362278;-2,08035698226364;1,21425876295973;0,41049158217531
masculino;-1,32423880021925;-1,44438931266532;-1,97165816989528;-1,80621173367841;1,78932905225517;1,26024895969968
