sexo;idade;crianca_adulto;lx_obs;lx_padrao;logito_obs;logito_padrao
feminino;1-4;c;0,986801827350745;0,985697087952580;-2,157195426050583;-2,11644296907970
feminino;5-9;c;0,984449803004120;0,983512729636206;-2,074004801194977;-2,04427099544759
feminino;20-24;a;0,979685224304307;0,979764498259286;-1,937941416157695;-1,93993683059029
feminino;45-49;a;0,951126357227985;0,957261006153107;-1,484204336458731;-1,55448218980410
masculino;1-4;c;0,982254853458630;0,975711039326954;-2,006869377674120;-1,84657226123986
masculino;5-9;c;0,979625653435352;0,971576463274046;-1,936446962116434;-1,76585120611696
masculino;20-24;a;0,966013103735621;0,962912353591636;-1,673601176362061;-1,62833923023814
masculino;45-49;a;0,875419689919078;0,925592600579221;-0,974876424076435;-1,26043939509250
