sexo;idade;nivel_interpolado;nivel_medio
feminino;1-4;22,9189859241771;22,7635
feminino;5-9;22,8923197333561;22,7635
feminino;20-24;22,7824336380061;22,7635
feminino;45-49;22,4601341743300;22,7635
masculino;1-4;23,0769641027611;22,2205
masculino;5-9;23,0824288419159;22,2205
masculino;20-24;22,4695006793114;22,2205
masculino;45-49;20,2530624737826;22,2205
